classification,system:index,Landcover_Class,B2,B3,B4,B5,B6,B7,B1
17,8214_0,17,599,811,1010,1556,2359,2051,515
4,8224_0,3,784,1005,1140,1436,1826,1628,714
8,8235_0,9,106,285,216,2652,870,372,53
17,8239_0,17,361,679,440,4218,1959,908,325
0,8246_0,0,465,577,328,59,14,11,368
11,8247_0,11,214,457,523,1708,1755,1065,114
17,8252_0,2,245,488,328,2753,1469,692,202
9,8254_0,9,193,377,329,1433,1114,621,133
19,8260_0,17,387,524,596,1205,1330,1033,326
12,8264_0,12,564,924,1023,2847,3945,2437,447
12,8265_0,16,425,697,507,2788,2143,1252,401
12,8268_0,12,776,1233,1285,3458,3443,2050,606
0,8269_0,0,417,567,549,176,40,24,344
0,8271_0,0,529,532,227,48,26,10,435
12,8273_0,17,468,798,886,2751,2334,1390,348
17,8283_0,2,220,442,189,3548,1255,540,214
9,8284_0,17,277,443,400,2393,1612,858,239
0,8294_0,0,260,218,99,66,50,42,242
4,8312_0,3,456,580,572,1315,1144,831,413
2,8318_0,2,311,452,446,1812,1216,747,288
17,8320_0,17,357,538,745,1281,2152,2046,316
17,8321_0,17,399,567,699,1225,1910,1527,340
9,8323_0,9,196,286,253,1200,933,525,149
12,8326_0,11,527,923,1149,2750,3375,2149,321
9,8330_0,11,109,225,161,1031,740,423,94
3,8339_0,3,433,593,547,2042,1206,728,382
9,8340_0,9,141,261,285,1063,1105,680,75
8,8349_0,8,26,119,82,1086,276,120,-11
11,8352_0,9,109,267,245,1498,1138,613,48
4,8356_0,3,1014,1387,1590,1994,2060,1754,813
11,8359_0,12,331,602,771,1948,2955,1955,189
0,8362_0,0,477,393,149,51,19,15,451
8,8379_0,8,97,281,201,2828,948,389,49
12,8381_0,12,446,753,585,2819,2365,1330,406
9,8383_0,11,103,139,138,482,481,298,63
4,8400_0,3,248,350,372,1340,874,576,170
17,8410_0,17,269,479,272,3618,1599,758,260
0,8414_0,0,256,204,99,55,34,26,268
0,8421_0,0,224,168,90,50,30,21,245
11,8424_0,12,234,461,456,1617,1845,1065,142
12,8437_0,12,505,994,1207,1910,2396,2135,286
17,8442_0,17,240,348,424,673,1225,1034,183
0,8443_0,0,221,162,85,49,33,18,238
0,8444_0,19,273,371,415,317,153,111,246
0,8450_0,0,601,751,579,108,19,10,515
9,8463_0,9,142,260,230,1005,692,437,85
17,8466_0,17,408,574,559,1997,1676,1114,356
11,8474_0,12,255,533,498,2076,2030,1205,156
17,8476_0,17,444,651,681,1837,1855,1239,372
12,8486_0,12,540,873,1090,2454,3622,2396,372
17,8489_0,3,254,554,439,3148,1143,652,157
12,8492_0,17,363,706,511,3364,1987,1044,292
11,8496_0,11,106,252,273,1492,1198,686,44
8,8503_0,9,74,130,92,512,349,174,79
0,8508_0,0,599,672,494,97,27,10,518
4,8510_0,3,337,539,576,1670,1088,725,252
9,8511_0,9,99,188,165,880,450,259,33
9,8512_0,9,88,187,152,1044,672,335,66
12,8520_0,11,283,583,420,2980,2105,1105,221
12,8522_0,12,295,560,464,2486,1974,1047,221
17,8523_0,12,384,745,905,2224,2045,1506,289
0,8524_0,0,590,752,612,121,15,16,491
8,8528_0,9,97,243,139,2058,712,279,61
5,8532_0,6,2385,2280,2382,2527,1701,1280,2201
12,8534_0,11,362,668,578,2425,2327,1445,290
11,8551_0,12,349,606,556,2093,2093,1282,287
11,8555_0,11,309,493,491,1821,1776,1161,251
0,8566_0,0,462,516,243,50,18,11,388
12,8570_0,12,488,751,685,2406,2602,1602,434
9,8573_0,8,170,261,242,1345,854,480,155
17,8576_0,17,279,524,374,2793,1563,870,249
17,8581_0,3,499,800,958,1393,1870,1632,399
12,8609_0,12,471,731,617,2454,2611,1685,430
0,8611_0,0,711,898,970,793,30,18,618
17,8612_0,12,518,756,705,2038,2023,1388,460
17,8614_0,17,373,511,661,1105,2298,2194,291
4,8615_0,4,712,1091,1271,2108,1732,1467,573
9,8627_0,11,201,325,234,1688,1038,543,173
11,8645_0,12,430,634,520,2293,2000,1165,409
8,8648_0,8,137,239,167,2507,831,352,87
11,8654_0,17,298,380,366,1654,1619,1055,268
17,8655_0,2,469,938,876,2814,1992,1338,330
0,8660_0,0,220,171,89,50,35,24,245
11,8662_0,9,284,527,527,2338,2428,1449,169
17,8674_0,11,319,562,445,2545,1907,1080,276
17,8678_0,17,519,620,738,1135,1956,1758,468
17,8680_0,17,398,570,739,1285,2828,2619,343
8,8683_0,2,74,171,114,1723,470,173,47
12,8685_0,11,358,565,621,1490,2067,1495,287
0,8690_0,0,194,140,74,41,30,21,216
8,8696_0,8,72,207,137,1861,507,211,26
11,8703_0,11,205,328,409,840,1249,920,99
17,8716_0,12,324,680,569,3438,1771,1045,244
9,8724_0,9,192,346,305,1338,1154,626,131
17,8729_0,2,500,748,800,1979,2479,1842,424
17,8737_0,17,351,624,552,2601,1968,1235,327
3,8739_0,3,348,589,632,1693,1322,956,256
19,8740_0,19,437,533,596,1333,1272,859,377
0,8745_0,0,208,153,83,51,37,22,236
4,8754_0,4,653,992,1165,1966,1562,1282,498
17,8755_0,17,546,865,882,2779,2309,1571,455
8,8760_0,8,98,120,69,524,218,91,80
2,8761_0,9,245,489,378,3427,1858,919,180
4,8762_0,4,611,819,881,1647,1436,1104,523
17,8763_0,17,489,646,696,2004,2237,1555,430
9,8771_0,9,67,169,161,946,649,377,0
11,8780_0,18,246,407,417,1426,1478,921,212
11,8783_0,11,392,550,530,1703,2055,1280,335
9,8799_0,9,128,196,160,644,566,288,122
11,8800_0,9,185,387,389,1558,1287,741,111
12,8813_0,17,407,663,551,2999,2362,1421,361
4,8814_0,4,517,825,895,1830,1537,1197,371
0,8816_0,0,323,445,305,67,31,19,294
0,8825_0,0,335,221,124,80,49,27,364
9,8832_0,8,264,433,387,2454,1673,836,207
12,8834_0,11,478,693,633,2303,2517,1522,439
17,8839_0,17,375,594,855,1416,2690,2411,274
8,8845_0,9,188,315,248,2186,1010,482,148
12,8847_0,17,411,909,705,3286,2139,1362,319
0,8850_0,0,537,672,477,85,20,12,435
0,8857_0,0,440,308,114,35,29,12,429
12,8861_0,12,184,296,319,745,713,425,112
17,8862_0,17,460,607,758,1179,1759,1739,401
17,8873_0,4,493,678,995,1511,1635,1610,440
17,8879_0,17,541,643,728,1146,1805,1675,510
17,8882_0,17,495,838,860,3165,2193,1490,427
4,8885_0,3,554,726,773,1592,1453,1094,504
8,8886_0,9,137,231,149,1699,678,283,101
17,8893_0,17,775,1016,1173,1770,2128,1625,667
11,8903_0,9,137,302,297,1321,1220,819,98
11,8905_0,9,398,569,596,2169,2527,1511,321
17,8906_0,11,479,789,914,2093,2099,1555,358
12,8908_0,11,455,679,631,2324,2726,1682,407
11,8909_0,11,132,300,338,986,1280,882,49
17,8926_0,19,351,444,465,772,1030,782,331
0,8939_0,0,350,248,101,35,21,14,367
17,8944_0,12,828,1059,1322,1988,2957,2527,731
8,8961_0,8,99,280,198,2550,950,422,50
8,8962_0,8,71,149,97,1566,376,169,29
0,8964_0,0,474,517,244,53,22,12,414
9,8978_0,9,92,232,213,929,810,494,71
17,8979_0,9,302,497,495,2457,1970,1116,215
11,8986_0,12,489,686,679,2369,2725,1665,448
12,8987_0,11,546,697,719,2083,2624,1824,490
0,8991_0,3,328,366,326,339,440,366,311
17,8999_0,17,482,577,651,1075,1511,1214,431
9,9006_0,17,235,431,391,2285,1529,828,191
5,9008_0,5,2333,2542,2604,2573,2034,1675,2139
12,9010_0,3,478,754,579,2609,2067,1267,430
12,9014_0,12,366,661,519,3005,2298,1225,312
0,9019_0,0,288,184,105,58,36,27,325
12,9025_0,12,424,825,830,2969,2674,1459,270
9,9027_0,8,72,154,122,1033,646,302,18
17,9033_0,17,265,683,261,5057,1505,619,237
9,9035_0,8,17,137,95,1213,656,277,-54
9,9037_0,8,162,226,191,1388,832,369,156
4,9039_0,4,847,1057,1141,1402,1646,1349,742
8,9040_0,8,74,146,87,1471,400,148,34
12,9041_0,11,332,604,507,2562,1962,1146,267
11,9042_0,9,262,439,438,1534,1923,1094,191
11,9049_0,17,301,551,664,2038,2351,1556,224
17,9053_0,12,410,629,562,2281,1775,1178,345
8,9058_0,2,171,349,260,2209,1002,487,135
17,9061_0,17,445,519,588,895,1418,1211,409
17,9062_0,17,515,715,829,1298,1831,1543,413
17,9069_0,12,395,613,456,4019,1702,884,362
0,9076_0,0,342,265,97,45,26,16,325
5,9077_0,5,1404,1965,2184,2308,2555,2344,1102
17,9078_0,2,331,561,523,1414,1458,1071,237
17,9090_0,3,453,704,744,2241,1947,1384,312
9,9096_0,2,151,327,279,2209,1037,543,97
11,9100_0,9,340,517,488,2410,2134,1184,272
19,9105_0,19,445,581,628,1701,1918,1184,379
12,9108_0,12,755,1144,1336,2841,3497,2236,582
17,9109_0,17,295,487,386,2479,1680,880,286
17,9112_0,17,353,498,582,2273,1511,868,318
11,9125_0,11,234,473,522,1537,1820,1079,142
11,9128_0,9,152,325,396,1347,1455,850,78
3,9129_0,3,359,559,614,1898,1180,780,282
17,9131_0,16,415,655,838,1459,2317,1918,348
0,9133_0,0,296,266,150,71,46,29,319
9,9142_0,8,128,337,248,3247,1370,583,72
0,9144_0,0,380,330,126,35,19,7,348
9,9147_0,9,39,110,85,638,401,229,17
12,9149_0,12,489,897,896,2764,2819,1675,348
17,9169_0,2,223,423,260,2757,1415,686,195
17,9174_0,17,849,1213,1449,2158,2914,2517,699
5,9188_0,5,1044,1436,1680,2003,2229,1918,875
12,9193_0,12,640,1074,1238,2942,3550,2228,462
0,9198_0,0,220,214,88,41,29,18,218
8,9204_0,8,43,57,36,130,75,49,35
12,9205_0,17,405,736,565,3317,2903,1611,375
11,9209_0,19,365,488,471,1457,1894,1314,340
4,9210_0,5,663,854,950,1039,1301,1078,558
3,9212_0,3,248,433,414,1807,1158,795,152
3,9216_0,3,219,570,628,1883,1291,948,40
12,9217_0,12,350,605,626,1715,1594,970,216
9,9220_0,9,249,386,325,1904,1409,749,196
17,9222_0,17,382,527,577,1626,2014,1553,335
0,9224_0,0,454,451,190,48,20,17,414
0,9225_0,0,233,173,90,47,28,22,243
11,9231_0,12,331,585,513,2127,1991,1105,237
12,9232_0,17,555,976,971,2808,2809,2005,447
9,9234_0,9,148,281,222,1315,985,538,104
4,9240_0,3,435,937,1036,1898,1522,1212,199
17,9241_0,12,391,599,626,1998,1906,1233,330
17,9248_0,17,409,544,616,986,1807,1664,333
3,9268_0,12,362,406,388,1280,807,520,324
8,9269_0,8,82,125,89,971,416,176,32
17,9274_0,11,297,498,319,2358,1485,771,268
11,9284_0,11,274,482,552,1641,2384,1592,160
12,9290_0,12,503,709,720,1673,2617,1781,450
0,9291_0,0,397,312,104,51,26,17,351
17,9298_0,17,531,643,736,1306,2315,2047,480
12,9300_0,12,517,780,758,2085,2476,1610,384
11,9301_0,9,192,322,309,1642,1334,767,143
17,9304_0,17,274,343,394,593,1174,1112,225
4,9307_0,3,1177,1597,1775,2257,2830,2577,980
11,9310_0,11,236,418,516,1658,2029,1312,158
12,9311_0,12,403,676,572,2373,2572,1522,350
11,9312_0,11,135,287,385,1405,1755,1113,40
9,9318_0,9,157,311,307,1208,1213,705,102
2,9321_0,17,624,1010,1126,2248,2128,1639,448
17,9324_0,3,367,788,816,2565,2122,1427,286
17,9328_0,17,468,648,747,1441,2126,1867,424
9,9330_0,7,168,231,169,1061,671,356,162
9,9332_0,11,176,223,194,465,515,308,153
11,9333_0,9,249,448,563,1500,1829,1118,114
9,9335_0,9,139,253,220,1437,960,521,114
9,9339_0,2,120,244,218,1585,850,392,75
4,9354_0,4,622,830,819,1295,1479,1272,544
12,9361_0,11,284,524,441,2045,1919,1255,199
12,9364_0,2,388,666,434,3576,2160,1131,353
17,9366_0,17,453,514,597,975,1807,1738,421
9,9373_0,8,40,81,46,475,247,123,6
9,9379_0,11,237,321,263,1769,1100,582,199
5,9386_0,5,693,763,803,1202,1007,796,584
12,9394_0,12,352,610,392,2647,2078,1196,337
0,9398_0,0,199,149,78,46,31,21,218
11,9400_0,11,325,449,505,1549,1932,1277,257
4,9402_0,3,728,970,1103,1617,2011,1763,551
8,9403_0,8,32,105,58,909,239,102,-13
11,9409_0,9,275,395,379,1506,1365,821,218
12,9416_0,17,468,697,567,2504,2056,1208,436
9,9419_0,11,48,153,159,767,626,371,2
12,9423_0,2,503,812,644,3085,2095,1274,460
17,9429_0,17,303,437,498,1413,1407,948,265
2,9439_0,8,220,405,317,2043,1012,526,175
4,9451_0,4,378,748,795,1828,1277,985,246
12,9453_0,12,489,897,819,3166,3290,1991,385
9,9454_0,11,255,401,307,2712,1415,655,224
12,9458_0,12,549,846,999,2256,2862,1865,429
4,9460_0,5,984,1112,1212,1786,1790,1522,788
0,9477_0,0,370,345,124,42,32,25,329
0,9480_0,0,288,270,120,59,36,24,285
12,9484_0,16,478,720,812,2038,2227,1352,356
11,9489_0,11,310,633,788,2661,2581,1359,173
11,9493_0,8,266,441,448,1909,1879,1058,178
11,9519_0,11,361,656,751,1975,2584,1622,227
4,9526_0,4,450,672,661,1886,1001,694,408
9,9528_0,9,85,192,181,919,765,399,24
17,9530_0,17,774,1363,1554,2777,3062,2304,630
5,9532_0,3,732,1071,1166,1443,1478,1246,529
12,9533_0,12,434,701,682,2069,2737,1828,344
11,9535_0,9,235,444,457,1557,1350,870,179
12,9537_0,12,379,567,470,1865,2066,1305,349
17,9543_0,17,340,455,422,1491,1465,939,306
8,9546_0,8,81,188,144,1758,729,305,23
17,9551_0,17,330,576,570,2004,1677,1063,263
17,9554_0,17,882,1121,1350,2012,2708,2236,774
12,9572_0,12,468,801,710,2565,2313,1332,414
11,9589_0,12,349,634,755,1943,3070,1908,240
12,9595_0,16,548,888,998,2575,2629,1911,477
4,9610_0,3,587,726,752,1698,1153,814,499
8,9619_0,8,108,166,96,1496,409,161,96
12,9620_0,11,523,726,769,2041,2615,1822,455
11,9634_0,12,233,496,345,1934,1480,884,180
17,9639_0,12,393,522,475,1237,1491,1037,380
17,9642_0,17,340,656,434,3690,2138,1018,303
9,9650_0,11,282,454,422,1866,1702,948,228
17,9656_0,9,289,471,459,2061,1437,879,242
11,9658_0,12,473,702,688,2506,2738,1664,417
11,9661_0,11,277,516,652,2038,2273,1508,169
0,9664_0,0,580,740,581,108,27,14,474
12,9665_0,2,438,635,605,1599,2041,1376,378
12,9666_0,12,620,1127,1302,3361,3574,2120,399
12,9675_0,12,291,594,389,2887,2137,1132,251
4,9688_0,2,505,754,831,1992,1549,1136,404
11,9699_0,11,201,406,463,1693,2051,1295,123
12,9702_0,11,319,564,585,1736,1693,1049,217
11,9705_0,11,236,506,612,1997,2198,1459,143
0,9706_0,0,511,476,194,64,28,12,454
17,9720_0,17,445,600,683,1053,1445,1243,352
8,9721_0,2,107,184,121,1355,477,232,63
17,9730_0,2,423,679,718,2047,1825,1168,339
8,9731_0,8,142,333,222,4072,1107,421,76
11,9732_0,9,335,569,558,2414,2111,1251,259
12,9737_0,11,469,775,870,2192,3001,2065,325
2,9739_0,18,168,301,273,1530,803,434,141
17,9741_0,6,240,689,481,3412,1520,674,178
8,9746_0,8,7,105,66,1153,378,159,-25
12,9749_0,11,414,614,654,1875,1967,1192,315
0,9759_0,0,557,675,404,75,22,9,457
8,9766_0,11,55,80,67,223,157,95,21
12,9769_0,12,457,828,767,3199,2645,1568,360
17,9784_0,17,477,682,703,2099,2106,1427,393
11,9785_0,17,225,483,468,2078,1717,1053,140
9,9787_0,9,259,414,339,1823,1582,813,208
12,9796_0,12,582,966,868,3285,3107,1756,502
11,9798_0,11,188,300,246,1187,717,379,158
12,9800_0,12,325,648,502,2478,2415,1439,255
17,9807_0,17,158,499,337,4585,1231,521,35
0,9810_0,0,364,360,206,166,75,45,328
4,9816_0,2,752,1072,1201,1996,2194,1718,572
0,9818_0,0,480,541,270,48,16,11,405
19,9834_0,18,365,459,528,1367,1865,1177,309
11,9836_0,8,164,387,445,1698,1562,949,75
12,9837_0,17,545,875,804,2877,2587,1819,483
9,9849_0,9,188,313,285,1899,1321,710,157
12,9852_0,12,639,904,1013,2375,3813,2610,542
12,9854_0,12,401,742,626,2765,2820,1723,314
12,9856_0,11,398,762,569,3448,2418,1237,356
12,9857_0,17,498,827,1178,1925,2963,2657,380
12,9859_0,12,346,676,372,3265,2163,1150,327
9,9861_0,9,325,413,400,1480,1283,736,295
0,9878_0,0,521,544,250,54,28,16,421
0,9879_0,0,519,512,218,42,25,15,431
17,9880_0,3,302,592,625,1814,1468,1085,249
2,9885_0,2,308,478,448,2121,1082,655,260
9,9894_0,9,206,343,292,1321,1035,581,166
19,9895_0,12,401,542,599,971,1220,807,320
12,9899_0,2,453,779,745,2465,2337,1494,350
0,9900_0,19,1460,1476,1274,836,239,186,1226
9,9901_0,9,201,343,288,1943,1123,590,172
0,9907_0,0,372,498,345,107,41,29,312
8,9909_0,9,93,157,108,830,389,190,74
17,9910_0,17,429,623,610,1917,1586,1115,388
0,9911_0,0,579,743,634,121,19,10,461
7,9914_0,9,222,416,224,3461,1322,532,211
12,9917_0,12,376,709,626,2902,3057,1870,285
12,9919_0,12,464,877,963,3186,3299,1878,300
11,9921_0,11,393,520,489,1909,1988,1129,355
0,9924_0,0,266,213,100,62,35,24,274
12,9925_0,12,393,666,532,2733,2352,1371,345
9,9928_0,8,60,237,188,2111,991,457,1
12,9935_0,12,350,702,566,2374,2383,1527,270
5,9937_0,5,879,1047,1093,1349,1508,1405,773
17,9938_0,17,404,716,676,2943,2093,1356,372
17,9940_0,16,365,552,730,1182,2777,2844,282
12,9945_0,16,568,761,867,1818,3261,2348,502
12,9947_0,12,377,634,666,1763,2340,1541,272
9,9949_0,8,22,92,81,705,466,240,-19
11,9955_0,12,333,502,392,1707,1644,1026,319
0,9956_0,0,533,612,338,62,22,10,442
17,9963_0,17,409,655,718,1618,1700,1292,336
17,9966_0,17,460,813,889,2307,2268,1669,359
9,9975_0,9,176,284,236,862,754,455,148
17,9976_0,17,498,631,775,1276,2325,2188,460
5,9977_0,4,1157,1463,1560,1827,2063,1873,997
0,9978_0,0,304,316,208,98,40,24,299
12,9986_0,9,340,695,625,2974,2439,1376,275
0,9998_0,0,286,206,81,51,28,21,269
5,10001_0,4,573,661,661,1176,961,760,501
17,10002_0,2,214,497,429,2620,1239,744,134
3,10007_0,3,217,406,415,1588,940,607,128
11,10024_0,11,237,396,416,1270,1570,1059,167
4,10028_0,4,581,613,637,1010,1040,917,502
11,10043_0,11,239,330,335,788,1117,797,209
0,10045_0,0,473,585,349,62,16,17,384
17,10050_0,17,333,427,516,806,1884,1797,286
12,10051_0,12,514,935,1061,2878,3441,2195,345
17,10055_0,17,611,815,990,1571,2703,2224,500
11,10064_0,11,286,425,494,1295,1715,1129,219
12,10067_0,12,317,644,547,2687,1861,1155,238
0,10070_0,0,538,726,645,138,28,19,409
11,10081_0,2,269,511,526,2722,2005,1191,188
0,10086_0,0,405,326,106,43,20,10,351
17,10109_0,17,384,580,550,1757,1693,1153,341
12,10110_0,12,319,712,483,3630,2450,1336,261
12,10124_0,12,271,625,390,3196,2139,1092,234
11,10130_0,12,419,588,571,2243,2189,1270,366
11,10134_0,11,298,504,494,2256,2415,1498,205
0,10137_0,0,217,199,91,53,38,22,223
17,10138_0,9,278,445,338,3233,1647,727,236
17,10141_0,17,442,698,919,1284,1846,1479,369
9,10159_0,9,100,174,136,972,678,371,85
17,10169_0,17,301,527,502,2090,1602,962,237
4,10173_0,4,352,481,540,1256,865,641,322
12,10178_0,12,431,757,557,3237,2311,1238,387
17,10179_0,19,454,625,628,1318,1976,1306,400
9,10180_0,9,237,428,516,2233,1747,964,155
2,10186_0,16,522,732,672,2367,1553,982,477
9,10188_0,9,205,328,270,1166,1012,637,160
11,10195_0,11,362,639,711,1667,2003,1415,259
12,10199_0,12,517,736,811,2751,2672,2222,454
8,10201_0,8,36,125,92,1294,485,220,8
11,10213_0,12,264,494,374,2486,2038,1178,250
17,10214_0,19,434,549,643,1253,1633,1246,395
17,10216_0,17,548,762,933,1406,2137,1998,471
9,10219_0,9,-6,101,54,1072,600,254,-56
4,10221_0,4,426,667,690,1273,1176,952,351
12,10222_0,12,549,928,1070,2807,3912,2564,413
8,10224_0,8,37,122,77,757,351,161,0
17,10225_0,4,338,669,611,2380,1784,1150,281
17,10226_0,17,320,520,542,1823,1896,1287,295
3,10227_0,4,387,550,561,1865,1255,924,346
0,10231_0,0,525,486,202,46,18,14,479
0,10235_0,0,326,338,164,60,27,13,308
9,10238_0,0,207,345,276,961,573,343,174
4,10240_0,4,821,1122,1298,1592,1779,1504,664
9,10243_0,8,32,100,91,670,325,159,-18
11,10246_0,11,252,495,578,1914,2010,1257,146
11,10248_0,12,345,669,713,2018,2081,1241,214
4,10251_0,5,473,706,781,1063,1155,981,260
0,10253_0,0,321,412,295,1176,369,181,308
0,10260_0,0,339,422,303,67,20,11,301
4,10263_0,4,929,1288,1438,2049,2226,1778,751
4,10270_0,17,859,1067,1197,1575,2024,1705,757
9,10271_0,11,216,393,320,1722,1280,669,157
11,10284_0,11,183,291,215,1578,922,483,149
0,10288_0,0,362,487,300,61,27,14,312
19,10311_0,17,408,523,633,1277,1500,856,354
8,10313_0,8,75,227,155,2730,839,324,20
4,10314_0,0,449,800,848,1560,1816,1258,297
8,10316_0,8,76,117,66,886,298,126,35
0,10317_0,0,663,846,823,259,25,16,567
11,10318_0,11,299,492,551,1510,2146,1371,189
0,10319_0,0,205,140,75,45,27,19,226
17,10326_0,9,183,421,300,2606,1392,665,152
9,10332_0,2,273,483,454,2521,1904,992,211
9,10333_0,11,160,281,236,1374,948,480,130
4,10337_0,4,809,1066,1303,1912,1970,1769,662
17,10340_0,17,406,664,718,2504,2015,1306,342
0,10343_0,0,454,553,309,57,22,7,378
17,10348_0,17,381,691,548,3123,2073,1120,350
9,10350_0,9,187,336,333,1667,1357,750,115
11,10351_0,11,449,733,873,2274,2794,1901,309
12,10353_0,17,364,620,442,2910,2126,1223,320
17,10356_0,17,407,573,596,2158,2025,1495,355
2,10361_0,3,266,477,383,1765,1132,650,211
9,10362_0,17,190,312,380,1242,977,541,134
0,10364_0,0,519,522,221,43,17,16,438
17,10365_0,2,609,855,900,1645,2181,1637,516
12,10371_0,12,981,1554,1819,4001,4638,3205,744
11,10378_0,12,420,665,834,1483,2348,1749,275
17,10383_0,17,358,546,520,1764,1716,1143,324
11,10389_0,17,344,457,530,1558,1828,1138,286
9,10390_0,8,168,322,332,1231,1246,724,119
9,10393_0,9,195,252,245,821,819,496,175
12,10396_0,11,290,581,452,2343,2128,1337,208
12,10401_0,12,722,1058,1217,2548,3465,2393,608
12,10408_0,17,489,906,861,2919,2312,1595,380
5,10411_0,5,1654,1919,2094,2255,1976,1337,1488
0,10413_0,0,397,367,136,33,20,12,361
11,10419_0,11,300,544,611,1847,2001,1190,177
9,10420_0,9,160,288,298,1378,1239,710,105
12,10421_0,12,501,818,944,2087,2670,1900,383
17,10422_0,17,294,476,601,1062,1118,912,239
0,10425_0,0,298,332,247,90,27,14,291
0,10434_0,0,235,199,98,40,24,16,246
11,10435_0,9,215,407,403,2171,1922,1100,133
17,10437_0,11,331,519,470,2646,1864,1045,284
17,10441_0,17,311,385,448,678,1530,1407,281
0,10443_0,0,323,398,275,110,41,21,296
4,10450_0,17,712,1097,1163,2011,1961,1558,558
0,10452_0,0,235,323,144,59,35,18,176
12,10455_0,12,549,784,836,2123,2784,1720,466
12,10456_0,2,506,834,742,2444,2269,1345,423
11,10459_0,11,303,486,483,1911,2141,1313,254
11,10464_0,9,356,506,487,2273,2155,1118,292
9,10465_0,2,99,269,253,1686,1036,569,45
3,10478_0,2,489,590,541,1360,1077,786,450
12,10487_0,2,344,609,534,2476,1973,1163,272
4,10489_0,5,765,826,880,1133,1265,1081,696
12,10493_0,11,391,668,575,2121,2108,1337,315
12,10505_0,12,347,760,370,4762,2354,1131,324
2,10507_0,9,202,322,213,1741,970,481,162
9,10510_0,11,148,211,176,709,680,377,134
8,10520_0,8,155,174,104,1156,412,178,152
11,10530_0,17,329,454,433,1669,1694,1107,292
12,10531_0,11,438,676,658,2084,2439,1539,370
9,10533_0,2,71,213,220,1447,796,407,-2
11,10545_0,17,292,412,409,1813,1522,976,255
0,10568_0,0,204,151,77,44,28,18,232
8,10571_0,8,92,238,145,2653,704,266,40
5,10579_0,4,1338,1929,2146,2630,2360,1706,1080
8,10580_0,8,68,173,107,1440,456,180,25
4,10584_0,5,646,851,918,1553,1480,1151,561
5,10587_0,17,1841,1863,2048,2035,1526,1453,1672
17,10596_0,17,501,738,925,1354,2354,2102,407
11,10613_0,12,315,504,475,1492,1704,1162,252
9,10616_0,9,90,158,138,1020,645,366,51
8,10618_0,8,37,181,133,2148,731,293,-8
17,10622_0,12,365,587,450,2542,1757,911,330
17,10625_0,17,406,658,676,2163,1759,1369,328
17,10632_0,17,589,862,1113,1773,2174,1759,476
12,10644_0,12,569,882,921,3047,3384,2143,465
12,10645_0,12,609,917,992,2408,3625,2424,488
11,10648_0,12,370,649,864,1793,2592,1588,197
0,10649_0,0,264,275,126,73,58,45,246
8,10650_0,8,84,159,93,1481,443,188,51
5,10657_0,5,1137,1543,1693,1834,2266,1925,934
4,10661_0,4,518,785,827,1816,1401,1031,397
9,10673_0,9,140,288,194,2078,990,428,87
17,10674_0,12,753,1184,1352,2706,2866,1987,640
17,10681_0,17,419,682,974,1521,2800,2533,328
12,10682_0,12,397,733,560,4404,2320,1282,318
12,10684_0,12,439,733,720,2177,3039,1933,318
11,10692_0,11,181,253,217,1217,848,448,150
17,10693_0,12,429,590,706,1314,2330,1794,334
5,10694_0,4,1584,2111,2236,2846,2681,1660,1565
4,10696_0,5,717,1086,1204,1702,1823,1486,606
11,10699_0,12,279,449,469,1750,2045,1402,208
0,10701_0,0,550,613,306,57,24,16,429
17,10702_0,17,605,975,1065,1610,2596,2175,532
9,10708_0,11,176,333,286,1410,1108,663,127
0,10709_0,0,523,630,383,59,21,11,435
17,10721_0,12,670,932,1050,2068,2891,1900,555
17,10722_0,12,300,499,481,1409,1494,1077,251
19,10730_0,19,423,528,602,1467,1180,820,381
9,10738_0,9,160,258,228,1345,845,445,100
12,10743_0,12,528,813,785,2653,3441,2220,461
9,10744_0,11,170,378,285,2074,1165,564,119
17,10751_0,17,293,488,699,1107,2087,1846,219
17,10756_0,19,396,609,622,1887,1564,992,300
0,10758_0,0,446,566,368,62,17,12,358
17,10762_0,17,324,539,404,3191,1703,892,273
3,10764_0,4,376,548,581,1541,1202,854,278
12,10771_0,12,457,734,596,3879,2249,1256,407
17,10773_0,17,348,486,447,1675,1530,962,319
9,10783_0,16,269,459,623,3812,2176,1420,163
11,10785_0,11,324,613,686,2067,2298,1372,217
11,10790_0,11,325,577,725,1729,2224,1398,217
12,10793_0,17,520,809,821,2395,2489,1788,468
11,10796_0,11,238,392,388,1737,1633,986,156
0,10798_0,0,302,189,108,56,38,22,345
0,10799_0,0,469,598,362,58,19,10,369
17,10802_0,17,402,547,610,1191,1599,1251,373
9,10803_0,9,185,307,291,1126,1099,653,137
12,10805_0,17,283,514,455,2286,1714,1046,237
11,10810_0,11,299,538,551,2070,2323,1480,214
12,10813_0,12,358,660,542,2198,2251,1401,305
9,10814_0,8,71,140,121,908,545,276,28
0,10819_0,0,231,645,426,103,22,12,228
9,10821_0,9,122,260,235,1398,1111,621,66
0,10823_0,0,371,362,152,42,21,12,367
11,10827_0,11,288,534,663,1675,1753,1018,146
11,10830_0,9,92,221,229,858,994,603,40
4,10835_0,4,578,778,848,1628,1456,1204,474
17,10836_0,17,452,600,712,1607,1884,1330,429
9,10837_0,9,190,441,372,1783,1313,819,130
12,10841_0,12,357,644,626,2314,2421,1577,270
